,mcc,sens,spec,prec,acc,FDR,FPR,PPV,NPV,mism,wspec,tversky,balanced_acc,dice
MRI_275.nii.gz,0.948729706,0.916536904,0.9998069,0.983294353,0.998786926,0.016705647,0.0001931,0.983294353,0.998965854,0.948742747,0.998264779,0.935592574,0.958171902,0.948742747
MRI_474.nii.gz,0.915908117,0.908242613,0.999816444,0.924050633,0.999591827,0.075949367,0.000183556,0.924050633,0.999774389,0.916078431,0.998350421,0.912927935,0.954029529,0.916078431
MRI_840.nii.gz,0.888238513,0.867021277,0.999755157,0.910614525,0.99937439,0.089385475,0.000244843,0.910614525,0.999617486,0.888283379,0.997800721,0.879654614,0.933388217,0.888283379
MRI_048.nii.gz,0.652749454,1,0.994318704,0.428516378,0.994342804,0.571483622,0.005681296,0.428516378,1,0.599946048,0.951091258,0.714239836,0.997159352,0.599946048
MRI_798.nii.gz,0.860302183,0.992374728,0.997637414,0.747640542,0.997600555,0.252359458,0.002362586,0.747640542,0.999946093,0.85279663,0.979131163,0.903635372,0.995006071,0.85279663
MRI_075.nii.gz,0.848008881,0.871243043,0.998126799,0.828510939,0.996822357,0.171489061,0.001873201,0.828510939,0.998661833,0.849339844,0.983390105,0.857967625,0.934684921,0.849339844
MRI_113.nii.gz,0.945911397,0.967884308,0.996858784,0.928809588,0.995681763,0.071190412,0.003141216,0.928809588,0.998637705,0.94794445,0.972422086,0.955820984,0.982371546,0.94794445
MRI_115.nii.gz,0.936519222,0.950993162,0.998156264,0.925233645,0.997051239,0.074766355,0.001843736,0.925233645,0.998823442,0.937936572,0.983647576,0.943115948,0.974574713,0.937936572
MRI_689.nii.gz,0.866796216,0.993250844,0.998916767,0.75728988,0.998897552,0.24271012,0.001083233,0.75728988,0.99997701,0.859367397,0.990334663,0.908342763,0.996083805,0.859367397
MRI_523.nii.gz,0.980467037,0.986926934,0.999446523,0.974880594,0.99917984,0.025119406,0.000553477,0.974880594,0.99971539,0.980866779,0.995040668,0.983281888,0.993186729,0.980866779
MRI_217.nii.gz,0.769328884,0.623110641,0.999011699,0.971028147,0.980037689,0.028971853,0.000988301,0.971028147,0.980339282,0.759103255,0.991175064,0.698154907,0.81106117,0.759103255
